Date,Real value,1 week forecasting,2 weeks forecasting,3 weeks forecasting,4 weeks forecasting,last forecasting
2020-11-24,31441.6,30772.5271898078,33495.1130461499,33856.5660598854,51290.7603667568,
2020-11-25,32321.58,31649.7101196919,34396.9961482936,35739.6656053931,51186.4727771153,
2020-11-26,33126.0333333333,32417.9781879128,35292.3695860016,38092.8933863841,50368.1121279102,
2020-11-27,33754.4866666667,33119.0946870821,36262.2925373938,40576.6169159704,49110.6806727935,
2020-11-28,34244.8855597808,33764.4965757292,37299.4470034493,43009.7470729257,47551.7704344483,
2020-11-29,,,,,,34549.0045582539
2020-11-30,,,,,,34759.649090434
2020-12-01,,,,,,34863.1807581736
2020-12-02,,,,,,34953.3789760019
2020-12-03,,,,,,34963.616183169
2020-12-04,,,,,,34907.3149139898
2020-12-05,,,,,,34795.3015213509
2020-12-06,,,,,,34636.5308974399
2020-12-07,,,,,,34438.5238155465
2020-12-08,,,,,,34207.653154422
2020-12-09,,,,,,33949.3465349746
2020-12-10,,,,,,33668.2394717964
2020-12-11,,,,,,33368.2967944973
2020-12-12,,,,,,33052.9120209604
2020-12-13,,,,,,32724.9903112357
2020-12-14,,,,,,32387.0185392565
2020-12-15,,,,,,32041.1248937961
2020-12-16,,,,,,31689.1297767375
2020-12-17,,,,,,31332.5893703149
2020-12-18,,,,,,30972.8329799101
2020-12-19,,,,,,30610.9950677575
2020-12-20,,,,,,30248.0427463407
2020-12-21,,,,,,29884.7993829623
2020-12-22,,,,,,29521.9648704464
2020-12-23,,,,,,29160.1330381226
2020-12-24,,,,,,28799.8066089018
2020-12-25,,,,,,28619.5356242697
2020-12-26,,,,,,28439.8587999835
