Date,Real value,1 week forecasting,2 weeks forecasting,3 weeks forecasting,4 weeks forecasting,Max capacity,last forecasting
2020-10-22,512.52,482.887849271864,494.758309517865,458.93520472586,355.772610198556,3738,
2020-10-23,542.88,506.890838262704,520.942318345193,505.687776771584,366.451937467073,3738,
2020-10-24,577.68,533.387546403071,548.297141812403,552.858628567711,380.965907970178,3738,
2020-10-25,613.76,562.654764643216,576.840056060626,597.56915536128,404.606573200637,3738,
2020-10-26,649,595.037449416878,606.703875263358,636.940939351639,447.257685429362,3738,
2020-10-27,680.6,630.420748812333,638.074847859937,673.038600299407,512.656120279111,3738,
2020-10-28,706.92,668.313839433344,671.622615612164,709.48938547204,597.378239594594,3738,
2020-10-29,725.4,707.035678875113,706.899706249222,754.137857510136,690.396222460361,3738,
2020-10-30,740.88,746.1678616092,746.377402908746,802.1127864178,786.301810458222,3738,
2020-10-31,757.56,785.057236547993,791.031923678995,851.621955385144,880.864281226098,3738,
2020-11-01,776.84,822.90825294995,841.25399558562,901.918187878268,967.526000615914,3738,
2020-11-02,799.24,858.987936494509,897.611348942882,951.727477740372,1037.89801667338,3738,
2020-11-03,828.6,893.066713354743,958.796577224764,1002.4489965289,1098.64632444145,3738,
2020-11-04,860.44,925.044944378475,1021.52812057538,1057.57479811405,1160.87720178959,3738,
2020-11-05,895.6,956.124877294991,1080.86028444624,1116.58793873381,1242.11881127229,3738,
2020-11-06,936.8,986.52222630718,1138.26233311413,1184.28929452902,1330.22684880242,3738,
2020-11-07,986.76,1016.87587281769,1194.10365805125,1262.1285717716,1420.03105472855,3738,
2020-11-08,1041.96,1048.34149954623,1247.0552071027,1350.56180538906,1508.89047225514,3738,
2020-11-09,1106.96,1082.13114751105,1295.55855754915,1451.25590558245,1590.70713014073,3738,
2020-11-10,1178.12,1120.15891272782,1337.88950869719,1558.01702325717,1670.70819879109,3738,
2020-11-11,1248.8,1164.79475552046,1373.36646115493,1657.45699484123,1760.54699419183,3738,
2020-11-12,1313.08,1214.60657819319,1404.83070414443,1739.73511844381,1860.53432655064,3738,
2020-11-13,1370.2,1268.77643867608,1431.8111995271,1813.69807950508,1977.16177292098,3738,
2020-11-14,1415.6,1326.24464247263,1455.6860323469,1883.47989662799,2111.69937163836,3738,
2020-11-15,1448.08,1384.93091629259,1480.17067098285,1947.75759845725,2264.70722246167,3738,
2020-11-16,1476.08,1444.36857948969,1509.27901196987,2003.38675156059,2442.08019435153,3738,
2020-11-17,1502,1502.39437770326,1549.80493961262,2044.29319821441,2624.35878827006,3738,
2020-11-18,1527.16,1556.76591222435,1607.41390299446,2068.6962285945,2772.82635526941,3738,
